L,LxL,Qubits,N Chains,Time
5,25,35,10,0.08001112937927246
10,100,149,49,0.5172863006591797
15,225,420,153,1.3219490051269531
20,400,797,289,2.4905688762664795
25,625,1592,510,11.528014421463013
30,900,2331,769,6.682733774185181
35,1225,2685,981,94.1251311302185
40,1600,4112,1344,51.08459973335266
5,25,34,8,0.09857845306396484
10,100,206,66,0.6287479400634766
15,225,410,149,1.2036144733428955
20,400,966,314,3.89375638961792
25,625,1811,540,9.383838653564453
30,900,2633,749,36.96054458618164
35,1225,3391,1017,52.29345917701721
40,1600,3773,1295,209.86337661743164
5,25,38,13,0.11500072479248047
10,100,162,59,0.352001428604126
15,225,362,129,1.7412610054016113
20,400,859,314,4.120760917663574
25,625,1802,530,9.570900917053223
30,900,1708,637,24.661846160888672
35,1225,3043,1000,74.97002339363098
40,1600,3592,1265,64.8962185382843
5,25,37,12,0.11152172088623047
10,100,163,56,0.3744213581085205
15,225,454,165,4.344760894775391
20,400,1115,331,5.490422487258911
25,625,1219,455,3.818527936935425
30,900,2225,718,21.48423409461975
35,1225,3788,1081,41.3515887260437
40,1600,4093,1311,134.12859082221985
5,25,34,9,0.08500003814697266
10,100,145,44,0.4617948532104492
15,225,468,159,2.1752405166625977
20,400,811,300,2.5377390384674072
25,625,1559,504,7.534257411956787
30,900,2404,776,18.962640047073364
35,1225,3497,1059,30.878562450408936
40,1600,3492,1277,649.1546905040741
5,25,33,8,0.08935046195983887
10,100,211,81,0.3811020851135254
15,225,544,182,1.3670878410339355
20,400,899,323,2.020249366760254
25,625,1558,519,7.525613307952881
30,900,2088,690,15.789922952651978
35,1225,3462,1056,46.72504234313965
40,1600,3416,1268,471.1043109893799
5,25,34,9,0.09921860694885254
10,100,218,71,0.580420732498169
15,225,498,157,2.948702812194824
20,400,970,319,4.0064167976379395
25,625,1644,515,5.23113751411438
30,900,2610,781,34.693843603134155
35,1225,4027,1057,407.79899287223816
40,1600,3973,1346,518.7823832035065
5,25,35,10,0.1016991138458252
10,100,172,57,0.3703436851501465
15,225,357,126,1.2738308906555176
20,400,1123,334,11.806335687637329
25,625,1609,525,21.73324728012085
30,900,2270,738,26.864418268203735
35,1225,3341,1044,111.98186540603638
40,1600,3569,1256,238.16661071777344
5,25,35,10,0.07742619514465332
10,100,148,46,0.42100024223327637
15,225,594,189,1.0229425430297852
20,400,984,307,3.6302425861358643
25,625,1568,510,5.4064555168151855
30,900,2302,726,35.37974143028259
35,1225,3810,1092,102.06059741973877
40,1600,4300,1338,186.03110718727112
5,25,35,10,0.10599994659423828
10,100,165,61,0.299746036529541
15,225,475,168,2.0494091510772705
20,400,785,287,2.482896327972412
25,625,1565,512,25.633447647094727
30,900,2164,733,45.99823355674744
35,1225,3657,1060,42.326722621917725
40,1600,4183,1345,39.214648962020874
