L,LxL,Qubits,N Chains,Time
5,25,34,9,0.04300045967102051
10,100,142,42,0.11395907402038574
15,225,446,154,2.413747549057007
5,25,35,10,0.0470120906829834
10,100,146,44,0.28901171684265137
15,225,429,155,1.2630677223205566
5,25,36,11,0.03400063514709473
10,100,157,53,0.2490098476409912
15,225,420,151,1.3889999389648438
5,25,32,7,0.04781389236450195
10,100,158,56,0.1749889850616455
15,225,467,157,3.278874635696411
5,25,33,8,0.03599977493286133
10,100,173,57,0.26600003242492676
15,225,351,119,1.5914525985717773
5,25,33,8,0.025998353958129883
10,100,148,48,0.28499841690063477
15,225,406,147,1.1560001373291016
5,25,34,9,0.047008514404296875
10,100,142,42,0.23306488990783691
15,225,339,111,1.2378735542297363
5,25,39,14,0.025998592376708984
10,100,152,52,0.19699931144714355
15,225,435,150,2.332155227661133
5,25,33,8,0.04912281036376953
10,100,176,59,0.25999975204467773
15,225,334,109,2.9428422451019287
5,25,35,10,0.034012556076049805
10,100,159,55,0.30675816535949707
15,225,420,148,1.2006080150604248
